IP Source    DNS Server   Time  Dns
 192.168.9.58		 114.114.114.114	  20:57:57.780237 	 imgcache.qq.com
 192.168.9.58		 8.8.8.8	  20:57:57.811089 	 imgcache.qq.com
 192.168.9.223		 8.8.8.8	  20:57:59.575877 	 cyp.com.tw
 192.168.9.223		 8.8.8.8	  20:57:59.778955 	 141.65.125.59.in-addr.arpa
 192.168.9.58		 114.114.114.114	  20:58:14.539850 	 clients4.google.com
 192.168.9.58		 8.8.8.8	  20:58:14.571217 	 clients4.google.com
 192.168.9.58		 114.114.114.114	  20:59:08.784484 	 safebrowsing.googleapis.com
 192.168.9.58		 8.8.8.8	  20:59:08.815520 	 safebrowsing.googleapis.com
 192.168.9.58		 114.114.114.114	  20:59:36.934080 	 cdn.content.prod.cms.msn.com
 192.168.9.58		 8.8.8.8	  20:59:36.964874 	 cdn.content.prod.cms.msn.com
 192.168.9.58		 114.114.114.114	  20:59:36.973522 	 platform.bing.com
 192.168.9.58		 8.8.8.8	  20:59:37.4539 	 platform.bing.com
 192.168.9.58		 114.114.114.114	  20:59:38.917832 	 www.drivergenius.com
 192.168.9.58		 8.8.8.8	  20:59:38.948518 	 www.drivergenius.com
 192.168.9.58		 114.114.114.114	  20:59:39.982446 	 rq.drcct.cloud.duba.net
 192.168.9.58		 8.8.8.8	  20:59:40.13669 	 rq.drcct.cloud.duba.net
 192.168.9.58		 114.114.114.114	  20:59:47.985659 	 rq.upgrade.lbmini.cmcm.com
 192.168.9.58		 8.8.8.8	  20:59:48.17849 	 rq.upgrade.lbmini.cmcm.com
 192.168.9.58		 114.114.114.114	  20:59:48.219709 	 settings-win.data.microsoft.com
 192.168.9.58		 8.8.8.8	  20:59:48.250922 	 settings-win.data.microsoft.com
 192.168.9.58		 114.114.114.114	  21:00:03.932824 	 platform.cn.bing.com
 192.168.9.58		 8.8.8.8	  21:00:03.963755 	 platform.cn.bing.com
 192.168.9.58		 114.114.114.114	  21:00:10.223435 	 v10.vortex-win.data.microsoft.com
 192.168.9.58		 8.8.8.8	  21:00:10.254390 	 v10.vortex-win.data.microsoft.com
 192.168.9.58		 114.114.114.114	  21:00:30.921126 	 inference.location.live.net
 192.168.9.58		 8.8.8.8	  21:00:30.951981 	 inference.location.live.net
 192.168.9.58		 114.114.114.114	  21:00:38.363955 	 nexusrules.officeapps.live.com
 192.168.9.58		 114.114.114.114	  21:00:38.363958 	 config.edge.skype.com
 192.168.9.58		 114.114.114.114	  21:00:38.363958 	 ocos-office365-s2s.msedge.net
 192.168.9.58		 114.114.114.114	  21:00:38.364372 	 client-office365-tas.msedge.net
 192.168.9.58		 8.8.8.8	  21:00:38.395483 	 nexusrules.officeapps.live.com
 192.168.9.58		 8.8.8.8	  21:00:38.395486 	 client-office365-tas.msedge.net
 192.168.9.58		 8.8.8.8	  21:00:38.395486 	 ocos-office365-s2s.msedge.net
 192.168.9.58		 8.8.8.8	  21:00:38.395486 	 config.edge.skype.com
 192.168.9.58		 114.114.114.114	  21:00:44.566781 	 zhidao.baidu.com
 192.168.9.58		 8.8.8.8	  21:00:44.598158 	 zhidao.baidu.com
 192.168.9.58		 114.114.114.114	  21:00:52.579249 	 sqm.telemetry.microsoft.com
 192.168.9.58		 8.8.8.8	  21:00:52.611202 	 sqm.telemetry.microsoft.com
 192.168.9.58		 114.114.114.114	  21:00:57.622262 	 pub.idqqimg.com
 192.168.9.58		 8.8.8.8	  21:00:57.653607 	 pub.idqqimg.com
 192.168.9.58		 114.114.114.114	  21:02:13.288813 	 settings.data.microsoft.com
 192.168.9.58		 8.8.8.8	  21:02:13.320224 	 settings.data.microsoft.com
 192.168.9.58		 114.114.114.114	  21:02:15.705246 	 time.windows.com
 192.168.9.58		 8.8.8.8	  21:02:15.735555 	 time.windows.com
 192.168.9.58		 114.114.114.114	  21:02:16.922416 	 login.live.com
 192.168.9.58		 114.114.114.114	  21:02:16.929738 	 bn1302.storage.live.com
 192.168.9.58		 8.8.8.8	  21:02:16.953532 	 login.live.com
 192.168.9.58		 8.8.8.8	  21:02:16.960549 	 bn1302.storage.live.com
 192.168.9.58		 114.114.114.114	  21:02:17.42212 	 geover-prod.do.dsp.mp.microsoft.com
 192.168.9.58		 8.8.8.8	  21:02:17.72915 	 geover-prod.do.dsp.mp.microsoft.com
 192.168.9.58		 114.114.114.114	  21:02:17.862289 	 geo-prod.do.dsp.mp.microsoft.com
 192.168.9.58		 8.8.8.8	  21:02:17.893124 	 geo-prod.do.dsp.mp.microsoft.com
 192.168.9.58		 114.114.114.114	  21:02:18.68331 	 kv301-prod.do.dsp.mp.microsoft.com
 192.168.9.58		 8.8.8.8	  21:02:18.98742 	 kv301-prod.do.dsp.mp.microsoft.com
 192.168.9.58		 114.114.114.114	  21:02:19.35431 	 cp301-prod.do.dsp.mp.microsoft.com
 192.168.9.58		 8.8.8.8	  21:02:19.65754 	 cp301-prod.do.dsp.mp.microsoft.com
